"gene_ID","ES1060192","ES1081720","ES1081721","ES1081722","ES1081723","ES1081714","ES1081725","ES1081726","ES1060191","ES1060193","ES1081719","ES1060195","ES1081724","ES1081708","ES1081709","ES1081715","ES1081716","ES1081710","ES1081711","ES1081717","ES1081712","ES1060211","ES1060213","ES1081713","ES1060215","ES1060197","ES1060217","ES1060199","ES1081741","ES1060219","ES1072184","ES1072185","ES1072186","ES1072187","ES1072192","ES1072193","ES1072194","ES1072195","ES1072196","ES1072197","ES1072198","ES1072199","ES1072200","ES1072201","ES1072202","ES1072203","ES1072204","ES1072205","ES1072206","ES1072207","ES1072188","ES1072189","ES1072190","ES1072191","ES1072183","ES1072181","ES1072182"
"BEGAIN",0.1512184283,1.2100511301,0.0840843765,0,0,1.9212141336,3.1178886468,0.5047320103,0.6107004269,0.2707369294,0.2909611187,1.128494257,0,0.5450369628,0,0.0278690733,0.6154014447,0.6023393026,0,0,0.4105809704,0.2780165084,0.1137083754,0.2430297727,0.2581770065,0.0431655587,0.3280645397,0.8135399053,0.0504871539,0.6495403279,0.5891383918,0.770493741,0.2726979883,0.0534609191,0,0.5160431976,1.6310939808,0,0.7170922401,1.2275643683,0.7263438443,1.7281062341,0.3389689583,1.2932037987,2.6956329191,1.7027916011,0.2974810174,0.6256915181,0.9901552556,1.5186448005,0.1278040146,1.3933337381,0,0.4993763442,1.0264960035,1.9547518272,0
"BEND3",0.3434452438,0.0164792955,0.2125466185,0.4977246347,0.0314980483,0.2689699787,0.05125907,0.9885304349,0.3862137087,0.3188117112,0.1536274707,0.3002645473,0.2281111348,0.4587188918,0.8419778536,0.1264827172,0.1770628718,0.3545685256,0.4461387115,0.3811392796,0.2760403134,0.2924965348,0.2385646307,0,0.3240384878,0.329421369,0.0684451198,0.2848672855,0.1078589196,0.4666085621,0.5462710548,0.024980087,0.0229868845,0.090129009,0,0,0.4664904294,0,0,1.1247464361,0,0.0832397117,0.4762191521,0.0259546909,0.6221677281,0.1631086549,0.6519747632,0.8497358467,0.3245839276,1.7373205308,0.2423958573,0.2691564429,0,0.1403152551,1.233020526,0.5991797302,0.030915685
"BEND5",0.6433190762,3.1357745239,3.8024823614,2.2374777157,0.242292679,0.6766943115,0.3432129032,1.1653029362,0.6469079621,2.854123891,4.1525970866,1.5063271458,0,0.1923659869,2.3585085698,2.2488198369,2.6688988969,0,4.2816629898,0.455249695,1.0415302582,2.6324688136,0.7156938922,0.5142683582,1.6307302759,1.9310907838,3.1225135688,2.9641595919,1.4067556966,1.1002417799,13.9469641704,2.6308094619,0,0,28.5183782574,0.605979441,0.3693912008,0,13.0903205232,0.5640671133,0,0,13.6131260922,1.8223007344,0,0.9815996764,13.9590727367,0.1469474641,1.62780795,6.4199336673,16.3434676698,2.5769592074,0,0.2345631523,2.1697095496,6.385460189,0
"BEND7",0.0461344357,0,0,0,0,0,0,0,0.0555182206,0.0986798154,0,0.1075947961,0,0,0.0533818812,0,0,0,0,0,0,0.2519524607,0.1025604955,0,0.115916207,0,0,0.0821239021,0,0.0583260703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEST2",0.1486554041,0,0,0,0,0,0,0,0.0893119201,0.3972495132,0,0,0,0.1331764525,0,0,0,0,0.0676608472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1916114153,0,0,0,0,0,0,0,0,0.1021708023,0,0,0,0,0,0,0,0,0
"BEST4",0.6125627857,0.3672528722,0.3363375062,0.3264890952,1.0273209588,1.4579880591,1.6804060326,0.1837503632,0.7362198822,0.7970292781,0,0.9533399378,0.8898592782,1.1566621519,1.5723390466,0.5852505391,1.0407841976,0.322529201,0.4313379012,1.1836492071,1.5402585555,1.1120660335,0.0758055836,0,1.1196451813,0.756533213,0.8048202018,1.1523010015,1.9185118473,1.132056,1.8935627472,0.8731112464,0.3652019338,0.7875538169,0,1.9197058626,1.170208766,0,0,1.4295441345,0,0.9257240838,1.815812721,0,0,1.6584788426,2.5497075297,0.186208237,0.4420111009,2.905422543,0.0855786901,0.3109961675,0,0.1486163484,9.0730297042,2.3798526973,1.2770419899
"BET1L",54.7667012725,96.9382789573,135.0652011744,94.8005609284,136.4010865518,47.6247636885,96.2311035584,76.6448350379,55.2792508927,66.2774124114,91.915781253,66.2358569362,109.8682600153,72.031197166,55.4055397979,94.5168901719,141.3026496044,71.6506095931,87.8237797253,124.1434156725,61.318064243,97.8878749923,63.389074918,75.3565887973,63.4641233372,33.5396391075,53.9630765201,57.4020412045,65.5300308595,76.9904127397,139.189246522,125.619753251,88.406344608,80.9212757861,95.8985437255,80.1473820627,94.5368221317,68.4289547282,40.8567912977,54.4325527617,50.3504206599,32.8668735119,95.4382811954,89.7038368838,66.0661084692,81.5830204667,103.954922691,89.519043001,54.1163541466,69.0145971851,118.085159132,104.24936619,95.139875422,90.8365645097,130.812052984,92.9235330501,51.8228876891
"BEX1",0.9918903684,4.0703859999,6.2689574066,2.9178535925,3.8669911563,3.9641051622,4.350334981,2.8423157446,5.1776775322,3.1653448472,3.43566889,3.6732362957,2.5702026867,1.9236598688,2.2929944429,4.9778452444,2.9517676311,2.1573145234,0.6004900193,3.8579764853,4.0130230438,2.704868946,2.9385811523,8.7186930946,1.0458803223,2.6921677398,2.4947066078,3.3876109621,3.6649083972,4.6581320656,0,0,0,0,6.3140847203,4.2944399177,0.5690852839,1.0383138111,7.6422279103,3.9974166841,3.0930217655,3.3764228764,5.5190595465,8.422327292,2.0900015479,2.2683834749,4.0685878272,4.0749793305,1.0747740922,7.0646933296,4.9941420258,4.5372248292,1.6741856461,1.084106263,3.1755285009,6.1725243664,3.8217812042
"BEX4",78.7027843493,94.0591106069,122.4081668277,116.693595434,214.8457642945,100.6972367869,100.4388046056,134.9844123753,100.8186748193,79.0121690987,95.5306821921,82.5377196516,162.7674580187,77.5728173267,73.1283243597,106.1876005554,77.3570412457,88.4733909661,101.8042022875,96.1402658274,78.6065386625,99.0665491475,98.3844996274,100.2042131442,119.3172939006,97.6200469288,99.0400883491,118.1891269991,105.0614723439,111.7527506131,135.702376142,104.076940876,63.649284553,28.2103095192,169.643416753,77.4610000667,55.3560471634,24.9006334002,144.307160334,115.809578209,78.2948631545,70.7024605791,109.101733443,84.4065982222,60.7085129801,70.8385214212,131.833005702,86.3088250866,63.3535453344,60.3276316354,140.616067939,127.751015398,40.5252176048,43.6148408646,184.412449161,105.184786444,5.781860098
"BFAR",23.6977218254,23.1628269826,18.1412042389,29.8589118015,21.2417991651,16.8981456458,27.5238919138,32.0353639529,23.9718021316,24.4675337107,14.6341804279,24.5866620171,25.8194702235,26.7733994054,25.0142642453,25.9053755095,24.0762319578,23.7753148124,23.1865265906,26.5315287379,24.1732445894,26.9299532426,24.3915613099,27.618597737,30.6466644575,28.8891181258,30.4226756624,24.7911529501,19.630323375,28.0097696486,23.1508736274,16.1829590123,34.5628166274,28.109410453,15.7993906523,13.857513163,24.5571302694,24.0693402375,16.1761467429,13.6375597785,19.9972876535,24.9132381286,18.3960187661,25.2783165573,18.4716850573,18.4203969509,18.8245166661,23.2790280496,21.1088504374,22.7140453923,18.8038008813,13.6560328309,15.5317442924,19.2959989433,31.1525513875,25.9544456725,18.4043318326
